ReferencingSchema,ReferencingObject,ReferencedSchema,ReferencedObject,ReferencedObjectType,IsAmbiguous
DanfeHangFire,AggregatedCounter,DanfeHangFire,AggregatedCounter,USER_TABLE,False
DanfeHangFire,Hash,DanfeHangFire,Hash,USER_TABLE,False
DanfeHangFire,Job,DanfeHangFire,Job,USER_TABLE,False
DanfeHangFire,List,DanfeHangFire,List,USER_TABLE,False
DanfeHangFire,Set,DanfeHangFire,Set,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_PersonalizationPerUser,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_Profile,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_AnyDataInTables,dbo,aspnet_WebEvent_Events,USER_TABLE,False
dbo,aspnet_Applications_CreateApplication,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_CheckSchemaVersion,dbo,aspnet_SchemaVersions,USER_TABLE,False
dbo,aspnet_Membership_ChangePasswordQuestionAndAnswer,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_ChangePasswordQuestionAndAnswer,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_ChangePasswordQuestionAndAnswer,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_FindUsersByEmail,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_FindUsersByEmail,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_FindUsersByEmail,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_FindUsersByName,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_FindUsersByName,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_FindUsersByName,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetAllUsers,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_GetAllUsers,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetAllUsers,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetNumberOfUsersOnline,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_GetNumberOfUsersOnline,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetNumberOfUsersOnline,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetPassword,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_GetPassword,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetPassword,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetPasswordWithFormat,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_GetPasswordWithFormat,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetPasswordWithFormat,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetUserByEmail,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_GetUserByEmail,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetUserByEmail,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetUserByName,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_GetUserByName,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetUserByName,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_GetUserByUserId,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_GetUserByUserId,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_ResetPassword,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_ResetPassword,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_ResetPassword,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_SetPassword,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_SetPassword,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_SetPassword,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_UnlockUser,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_UnlockUser,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_UnlockUser,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_UpdateUser,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_UpdateUser,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_UpdateUser,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Membership_UpdateUserInfo,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Membership_UpdateUserInfo,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Membership_UpdateUserInfo,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Paths_CreatePath,dbo,aspnet_Paths,USER_TABLE,False
dbo,aspnet_Roles_CreateRole,dbo,aspnet_Applications_CreateApplication,SQL_STORED_PROCEDURE,False
dbo,aspnet_Roles_CreateRole,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_Roles_DeleteRole,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Roles_DeleteRole,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_Roles_DeleteRole,dbo,aspnet_UsersInRoles,USER_TABLE,False
dbo,aspnet_Roles_GetAllRoles,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Roles_GetAllRoles,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_Roles_RoleExists,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Roles_RoleExists,dbo,aspnet_Roles,USER_TABLE,False
dbo,AspNet_SqlCachePollingStoredProcedure,dbo,AspNet_SqlCacheTablesForChangeNotification,USER_TABLE,False
dbo,AspNet_SqlCacheQueryRegisteredTablesStoredProcedure,dbo,AspNet_SqlCacheTablesForChangeNotification,USER_TABLE,False
dbo,AspNet_SqlCacheRegisterTableStoredProcedure,dbo,AspNet_SqlCacheTablesForChangeNotification,USER_TABLE,False
dbo,AspNet_SqlCacheUnRegisterTableStoredProcedure,dbo,AspNet_SqlCacheTablesForChangeNotification,USER_TABLE,False
dbo,AspNet_SqlCacheUpdateChangeIdStoredProcedure,dbo,AspNet_SqlCacheTablesForChangeNotification,USER_TABLE,False
dbo,aspnet_UnRegisterSchemaVersion,dbo,aspnet_SchemaVersions,USER_TABLE,False
dbo,aspnet_Users_CreateUser,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Users_DeleteUser,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_Users_DeleteUser,dbo,aspnet_Membership,USER_TABLE,False
dbo,aspnet_Users_DeleteUser,dbo,aspnet_PersonalizationPerUser,USER_TABLE,False
dbo,aspnet_Users_DeleteUser,dbo,aspnet_Profile,USER_TABLE,False
dbo,aspnet_Users_DeleteUser,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_Users_DeleteUser,dbo,aspnet_UsersInRoles,USER_TABLE,False
dbo,aspnet_UsersInRoles_AddUsersToRoles,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_UsersInRoles_AddUsersToRoles,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_UsersInRoles_AddUsersToRoles,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_UsersInRoles_AddUsersToRoles,dbo,aspnet_UsersInRoles,USER_TABLE,False
dbo,aspnet_UsersInRoles_FindUsersInRole,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_UsersInRoles_FindUsersInRole,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_UsersInRoles_FindUsersInRole,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_UsersInRoles_FindUsersInRole,dbo,aspnet_UsersInRoles,USER_TABLE,False
dbo,aspnet_UsersInRoles_GetRolesForUser,dbo,aspnet_Applications,USER_TABLE,False
dbo,aspnet_UsersInRoles_GetRolesForUser,dbo,aspnet_Roles,USER_TABLE,False
dbo,aspnet_UsersInRoles_GetRolesForUser,dbo,aspnet_Users,USER_TABLE,False
dbo,aspnet_UsersInRoles_GetRolesForUser,dbo,aspnet_UsersInRoles,USER_TABLE,False
dbo,aspnet_UsersInRoles_GetUsersInRoles,dbo,aspnet_Applications,USER_TABLE,False
